,zip_code,bed_bath_rooms,avg_price
0,10001,0b1bh,739785.71
1,10001,0b0bh,16333.33
2,10003,2b2bh,2505388.88
3,10003,2b4bh,13300000.0
4,10003,8b10bh,17800000.0
5,10002,1b1bh,1093295.45
6,10002,3b2bh,2388217.14
7,10002,2b3bh,3885400.0
8,10002,0b0bh,2295454.55
9,10004,4b5bh,6535750.0
10,10004,2b2bh,1913000.0
11,10006,1b1bh,1407014.06
12,10006,0b1bh,718050.0
13,10006,3b3bh,5755000.0
14,10006,3b4bh,14430750.0
15,10007,2b2bh,3356000.0
16,10007,4b5bh,9101250.0
17,10007,3b2bh,4237500.0
18,10007,7b10bh,59000000.0
19,10007,2b3bh,4171640.62
20,10007,1b2bh,2543125.0
21,10007,0b0bh,0.0
22,10001,4b3bh,8500000.0
23,10003,6b5bh,8741666.67
24,10003,6b7bh,22900000.0
25,10002,4b2bh,1665000.0
26,10006,2b3bh,3923333.33
27,10006,0b0bh,0.0
28,10006,1b2bh,2922500.0
29,10007,3b5bh,16016000.0
30,10007,6b12bh,13750000.0
31,10007,4b6bh,12235000.0
32,10001,3b5bh,5500000.0
33,10001,14b14bh,7690000.0
34,10003,5b7bh,18000000.0
35,10002,5b6bh,15945000.0
36,10007,5b12bh,11500000.0
37,10001,2b3bh,4679565.22
38,10001,5b5bh,11561250.0
39,10001,1b1bh,1391236.84
40,10001,1b2bh,1976666.67
41,10001,7b10bh,6500000.0
42,10001,4b5bh,11624000.0
43,10003,0b1bh,626706.41
44,10003,1b1bh,1112676.71
45,10003,2b3bh,4187222.22
46,10003,3b3bh,4416200.0
47,10003,2b1bh,1627250.0
48,10003,0b0bh,787500.0
49,10003,3b2bh,2671392.86
50,10003,4b4bh,9628333.33
51,10002,3b4bh,5530000.0
52,10002,2b2bh,2460888.89
53,10002,4b3bh,3500000.0
54,10002,3b3bh,4514363.64
55,10002,1b2bh,1488915.0
56,10004,3b1bh,2295000.0
57,10004,2b3bh,2759000.0
58,10004,0b1bh,715357.14
59,10005,2b3bh,2745000.0
60,10005,2b2bh,1867892.86
61,10005,3b2bh,2178625.0
62,10005,1b2bh,1422923.08
63,10006,4b4bh,8145000.0
64,10007,3b4bh,6666695.65
65,10007,4b4bh,6325000.0
66,10007,0b1bh,1347500.0
67,10007,0b2bh,1890000.0
68,10003,10b13bh,13000000.0
69,10003,4b3bh,4372250.0
70,10003,4b6bh,28333333.33
71,10003,4b1bh,10500000.0
72,10002,4b4bh,2450000.0
73,10004,3b2bh,4290000.0
74,10006,5b5bh,7500000.0
75,10007,4b2bh,4150000.0
76,10001,0b3bh,8835000.0
77,10001,4b4bh,5000000.0
78,10003,6b6bh,9725000.0
79,10003,7b7bh,5500000.0
80,10003,10b8bh,17000000.0
81,10002,7b5bh,6500000.0
82,10005,4b4bh,2695000.0
83,10005,0b0bh,0.0
84,10007,5b7bh,29500000.0
85,10007,5b8bh,15750000.0
86,10001,2b2bh,2694791.62
87,10001,3b3bh,4948636.36
88,10001,3b2bh,3261000.0
89,10001,3b4bh,6882083.33
90,10001,2b1bh,1395000.0
91,10003,3b4bh,6317692.31
92,10003,1b2bh,1978470.86
93,10002,2b1bh,895842.11
94,10004,4b4bh,5930000.0
95,10004,1b2bh,1246666.67
96,10004,3b4bh,3781500.0
97,10004,1b1bh,989237.5
98,10004,0b0bh,0.0
99,10005,3b3bh,2888333.33
100,10005,1b1bh,1076964.25
101,10005,0b1bh,937823.53
102,10005,2b1bh,1922500.0
103,10006,2b2bh,3283700.0
104,10007,5b11bh,29450000.0
105,10007,3b3bh,5452000.0
106,10007,1b1bh,1371533.33
107,10007,5b6bh,14995000.0
108,10001,4b7bh,32000000.0
109,10003,5b5bh,11622500.0
110,10003,4b5bh,8005000.0
111,10003,4b10bh,46500000.0
112,10003,8b7bh,5200000.0
113,10002,0b1bh,859150.0
114,10004,2b1bh,1100000.0
115,10007,4b10bh,15150000.0
116,10004,3b3bh,3734000.0
117,10005,0b2bh,1230000.0
118,10007,2b0bh,2000000.0
119,10007,5b5bh,6495000.0
