,zip_code,bed_bath_rooms,max_price
0,10001,0b1bh,1529000
1,10001,0b0bh,49000
2,10003,2b2bh,7350000
3,10003,2b4bh,23000000
4,10003,8b10bh,17800000
5,10002,1b1bh,2750000
6,10002,3b2bh,3527000
7,10002,2b3bh,9995000
8,10002,0b0bh,9750000
9,10004,4b5bh,10995000
10,10004,2b2bh,2995000
11,10006,1b1bh,2200000
12,10006,0b1bh,835000
13,10006,3b3bh,5755000
14,10006,3b4bh,20305000
15,10007,2b2bh,5300000
16,10007,4b5bh,12000000
17,10007,3b2bh,5275000
18,10007,7b10bh,59000000
19,10007,2b3bh,9000000
20,10007,1b2bh,3875000
21,10007,0b0bh,0
22,10001,4b3bh,8500000
23,10003,6b5bh,9400000
24,10003,6b7bh,22900000
25,10002,4b2bh,1680000
26,10006,2b3bh,4600000
27,10006,0b0bh,0
28,10006,1b2bh,3350000
29,10007,3b5bh,30000000
30,10007,6b12bh,13750000
31,10007,4b6bh,21325000
32,10001,3b5bh,5500000
33,10001,14b14bh,7690000
34,10003,5b7bh,18000000
35,10002,5b6bh,15945000
36,10007,5b12bh,11500000
37,10001,2b3bh,7935000
38,10001,5b5bh,16000000
39,10001,1b1bh,3200000
40,10001,1b2bh,2750000
41,10001,7b10bh,6500000
42,10001,4b5bh,13880000
43,10003,0b1bh,1495000
44,10003,1b1bh,2000000
45,10003,2b3bh,6375000
46,10003,3b3bh,8250000
47,10003,2b1bh,2995000
48,10003,0b0bh,2995000
49,10003,3b2bh,4250000
50,10003,4b4bh,17000000
51,10002,3b4bh,6250000
52,10002,2b2bh,3495000
53,10002,4b3bh,3500000
54,10002,3b3bh,7950000
55,10002,1b2bh,2495000
56,10004,3b1bh,2295000
57,10004,2b3bh,3250000
58,10004,0b1bh,838000
59,10005,2b3bh,2995000
60,10005,2b2bh,3400000
61,10005,3b2bh,2999000
62,10005,1b2bh,1750000
63,10006,4b4bh,8900000
64,10007,3b4bh,12050000
65,10007,4b4bh,6750000
66,10007,0b1bh,1395000
67,10007,0b2bh,1890000
68,10003,10b13bh,13000000
69,10003,4b3bh,4495000
70,10003,4b6bh,46500000
71,10003,4b1bh,10500000
72,10002,4b4bh,2450000
73,10004,3b2bh,4290000
74,10006,5b5bh,7500000
75,10007,4b2bh,4150000
76,10001,0b3bh,8835000
77,10001,4b4bh,5000000
78,10003,6b6bh,9725000
79,10003,7b7bh,5500000
80,10003,10b8bh,17000000
81,10002,7b5bh,6500000
82,10005,4b4bh,2695000
83,10005,0b0bh,0
84,10007,5b7bh,29500000
85,10007,5b8bh,15750000
86,10001,2b2bh,4200000
87,10001,3b3bh,7895000
88,10001,3b2bh,4495000
89,10001,3b4bh,9515000
90,10001,2b1bh,1395000
91,10003,3b4bh,11000000
92,10003,1b2bh,2995000
93,10002,2b1bh,1495000
94,10004,4b4bh,7495000
95,10004,1b2bh,1450000
96,10004,3b4bh,4680000
97,10004,1b1bh,1425000
98,10004,0b0bh,0
99,10005,3b3bh,3295000
100,10005,1b1bh,1385000
101,10005,0b1bh,1425000
102,10005,2b1bh,2495000
103,10006,2b2bh,9650000
104,10007,5b11bh,40000000
105,10007,3b3bh,9300000
106,10007,1b1bh,1920000
107,10007,5b6bh,14995000
108,10001,4b7bh,32000000
109,10003,5b5bh,13250000
110,10003,4b5bh,10500000
111,10003,4b10bh,46500000
112,10003,8b7bh,5200000
113,10002,0b1bh,1195000
114,10004,2b1bh,1100000
115,10007,4b10bh,15150000
116,10004,3b3bh,4900000
117,10005,0b2bh,1230000
118,10007,2b0bh,2000000
119,10007,5b5bh,6495000
