,zip_code,bed_bath_rooms,min_price
0,10001,0b1bh,410000
1,10001,0b0bh,0
2,10003,2b2bh,1395000
3,10003,2b4bh,7000000
4,10003,8b10bh,17800000
5,10002,1b1bh,400000
6,10002,3b2bh,1100000
7,10002,2b3bh,1850000
8,10002,0b0bh,0
9,10004,4b5bh,2500000
10,10004,2b2bh,1325000
11,10006,1b1bh,835000
12,10006,0b1bh,635000
13,10006,3b3bh,5755000
14,10006,3b4bh,5800000
15,10007,2b2bh,1995000
16,10007,4b5bh,6495000
17,10007,3b2bh,3650000
18,10007,7b10bh,59000000
19,10007,2b3bh,2725000
20,10007,1b2bh,1935000
21,10007,0b0bh,0
22,10001,4b3bh,8500000
23,10003,6b5bh,7875000
24,10003,6b7bh,22900000
25,10002,4b2bh,1650000
26,10006,2b3bh,2975000
27,10006,0b0bh,0
28,10006,1b2bh,2495000
29,10007,3b5bh,6900000
30,10007,6b12bh,13750000
31,10007,4b6bh,2600000
32,10001,3b5bh,5500000
33,10001,14b14bh,7690000
34,10003,5b7bh,18000000
35,10002,5b6bh,15945000
36,10007,5b12bh,11500000
37,10001,2b3bh,2450000
38,10001,5b5bh,6995000
39,10001,1b1bh,775000
40,10001,1b2bh,1250000
41,10001,7b10bh,6500000
42,10001,4b5bh,7550000
43,10003,0b1bh,349000
44,10003,1b1bh,475000
45,10003,2b3bh,2685000
46,10003,3b3bh,2950000
47,10003,2b1bh,618500
48,10003,0b0bh,0
49,10003,3b2bh,1500000
50,10003,4b4bh,7200000
51,10002,3b4bh,4750000
52,10002,2b2bh,1695000
53,10002,4b3bh,3500000
54,10002,3b3bh,2750000
55,10002,1b2bh,899000
56,10004,3b1bh,2295000
57,10004,2b3bh,2275000
58,10004,0b1bh,569000
59,10005,2b3bh,2495000
60,10005,2b2bh,925000
61,10005,3b2bh,1350000
62,10005,1b2bh,1195000
63,10006,4b4bh,7740000
64,10007,3b4bh,4173000
65,10007,4b4bh,6000000
66,10007,0b1bh,1300000
67,10007,0b2bh,1890000
68,10003,10b13bh,13000000
69,10003,4b3bh,4249500
70,10003,4b6bh,19250000
71,10003,4b1bh,10500000
72,10002,4b4bh,2450000
73,10004,3b2bh,4290000
74,10006,5b5bh,7500000
75,10007,4b2bh,4150000
76,10001,0b3bh,8835000
77,10001,4b4bh,5000000
78,10003,6b6bh,9725000
79,10003,7b7bh,5500000
80,10003,10b8bh,17000000
81,10002,7b5bh,6500000
82,10005,4b4bh,2695000
83,10005,0b0bh,0
84,10007,5b7bh,29500000
85,10007,5b8bh,15750000
86,10001,2b2bh,1550000
87,10001,3b3bh,2550000
88,10001,3b2bh,2595000
89,10001,3b4bh,4500000
90,10001,2b1bh,1395000
91,10003,3b4bh,2395000
92,10003,1b2bh,663888
93,10002,2b1bh,689000
94,10004,4b4bh,3995000
95,10004,1b2bh,975000
96,10004,3b4bh,2975000
97,10004,1b1bh,675000
98,10004,0b0bh,0
99,10005,3b3bh,2450000
100,10005,1b1bh,520000
101,10005,0b1bh,510000
102,10005,2b1bh,1350000
103,10006,2b2bh,1575000
104,10007,5b11bh,18900000
105,10007,3b3bh,3875000
106,10007,1b1bh,995000
107,10007,5b6bh,14995000
108,10001,4b7bh,32000000
109,10003,5b5bh,9995000
110,10003,4b5bh,6270000
111,10003,4b10bh,46500000
112,10003,8b7bh,5200000
113,10002,0b1bh,438000
114,10004,2b1bh,1100000
115,10007,4b10bh,15150000
116,10004,3b3bh,2985000
117,10005,0b2bh,1230000
118,10007,2b0bh,2000000
119,10007,5b5bh,6495000
